id,brand,model,year,price,distance,location,was_in_accident,img_url
30827740,Lexus,LS 460,2008,16500,175,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/lexus_ls-460__409616611bx.jpg
31154247,Mercedes-Benz,C 200,2009,9500,256,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/mercedes-benz_c-200__416851377bx.jpg
31153558,Mazda,6,2014,11000,129,Чернівці,true,https://cdn3.riastatic.com/photosnew/auto/photo/mazda_6__416835578bx.jpg
30909828,Opel,Vectra C,2003,4700,258,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/opel_vectra-c__411428315bx.jpg
30601432,Mercedes-Benz,S 430,2002,6700,237,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/mercedes-benz_s-430__405202427bx.jpg
31100504,Alfa Romeo,Stelvio,2018,68500,25,Чернівці,true,https://cdn0.riastatic.com/photosnew/auto/photo/alfa-romeo_stelvio__415649650bx.jpg
31098432,Suzuki,Grand Vitara,2008,7900,126,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/suzuki_grand-vitara__415607578bx.jpg
31088626,Mercedes-Benz,C 200,2001,5500,297,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/mercedes-benz_c-200__415399268bx.jpg
31079327,Subaru,Legacy,2007,6800,205,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/subaru_legacy__415205889bx.jpg
31024020,Audi,Q5,2011,20950,190,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/audi_q5__413778559bx.jpg
30680822,Volkswagen,Touareg,2017,33500,170,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/volkswagen_touareg__406662826bx.jpg
29348168,Opel,Combo пасс.,2010,5499,180,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/opel_combo-pass__382640246bx.jpg
1859076,Mitsubishi,ASX,2021,21410,0,Черновцы,false,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/mitsubishi-asx__1190412-341x224x60.jpg
